NIM,JK,Kategori Sekolah,Usia,Program Studi,Tahun Masuk,IPs 1,IPs 2,IPs 3,IPs 4,IPs 5,SKS 1,SKS  2,SKS  3,SKS  4,SKS 5,Status Kelulusan
0611015,L,SMK,18,Teknik Sipil (S1),2006,2.48,2.67,2.78,2.1,2.56,19,22,18,18,19,Gagal
0811010,L,SMA,20,Teknik Sipil (S1),2008,2.68,2.33,2.83,2.59,2.9,19,19,20,20,20,Tidak Tepat Waktu
0811015,L,SMK,33,Teknik Sipil (S1),2008,2.73,2.86,2.83,3.23,2.96,19,19,20,22,20,Tidak Tepat Waktu
0811016,L,SMK,35,Teknik Sipil (S1),2008,3,2.57,3.11,3.05,3.13,19,19,20,22,20,Tidak Tepat Waktu
0811038,L,SMK,20,Teknik Sipil (S1),2008,2.55,2.43,2.83,3.09,2.65,19,19,20,20,20,Tidak Tepat Waktu
0911001,P,SMA,20,Teknik Sipil (S1),2009,3.1,2.86,2.83,2.73,2.85,19,19,20,22,14,Tidak Tepat Waktu
0911003,P,SMA,18,Teknik Sipil (S1),2009,2.6,2.9,3.17,2.27,2.55,19,19,20,22,20,Tidak Tepat Waktu
0911012,L,SMA,18,Teknik Sipil (S1),2009,3.55,3.19,3.2,2.45,1.96,19,19,20,22,15,Tidak Tepat Waktu
0911013,L,SMA,18,Teknik Sipil (S1),2009,3,2.71,3,2.5,3,19,19,20,22,20,Tidak Tepat Waktu
0911015,L,MA,19,Teknik Sipil (S1),2009,3,2.62,3.06,2.91,3.35,19,19,20,22,20,Tidak Tepat Waktu
0911017,L,SMA,20,Teknik Sipil (S1),2009,3.3,2.95,3.22,3.23,3.25,19,19,20,22,20,Tidak Tepat Waktu
1011001,L,SMA,18,Teknik Sipil (S1),2010,2.85,3,3.17,2.77,2.45,19,19,20,22,20,Tidak Tepat Waktu
1011003,L,SMK,18,Teknik Sipil (S1),2010,2.45,2.71,3.17,2.59,2.5,19,19,20,22,22,Tidak Tepat Waktu
1011009,L,SMA,19,Teknik Sipil (S1),2010,3.05,2.81,3,2.68,2.65,19,19,20,22,20,Tidak Tepat Waktu
1011014,L,SMA,17,Teknik Sipil (S1),2010,3.15,2.81,3.17,2.64,2.9,19,19,20,22,20,Tidak Tepat Waktu
1011017,L,SMK,18,Teknik Sipil (S1),2010,2.6,2.71,3,2.64,2.55,19,19,22,22,20,Tidak Tepat Waktu
1111002,L,,18,Teknik Sipil (S1),2011,3.21,2.85,3.22,3.36,3.33,18,18,24,22,20,Tidak Tepat Waktu
1111003,L,,20,Teknik Sipil (S1),2011,2.42,2.37,2.53,2.32,2.32,18,16,17,2,19,Gagal
1111004,P,SMA,17,Teknik Sipil (S1),2011,3.23,3.05,3.22,2.86,2.52,18,18,21,22,20,Tidak Tepat Waktu
1111006,P,SMK,19,Teknik Sipil (S1),2011,3.05,2.75,2.78,2.82,2.48,0,18,18,21,22,Tidak Tepat Waktu
1111007,L,SMK,18,Teknik Sipil (S1),2011,3.32,3.25,3.22,2.73,2.52,18,18,21,22,20,Tidak Tepat Waktu
1111010,L,,21,Teknik Sipil (S1),2011,2.74,2.68,3,2.64,2.3,35,19,0,15,21,Tidak Tepat Waktu
1111015,P,SMK,20,Teknik Sipil (S1),2011,2.74,2.53,2.74,2.89,2.53,18,16,17,17,19,Gagal
1111016,P,SMA,19,Teknik Sipil (S1),2011,3.55,3.35,3.39,3.36,3.67,18,18,21,24,20,Tepat Waktu
1111017,P,SMA,18,Teknik Sipil (S1),2011,3.14,3.4,3.17,3.18,3.29,18,18,21,22,20,Tidak Tepat Waktu
1111021,P,SMK,18,Teknik Sipil (S1),2011,3.63,3.65,3.56,3.82,3.81,18,18,21,22,24,Tidak Tepat Waktu
1111023,L,SMK,27,Teknik Sipil (S1),2011,3.1,3.35,3.22,3.32,2.9,16,3,19,17,18,Tidak Tepat Waktu
1211001,L,,20,Teknik Sipil (S1),2012,2.86,2.83,2.85,2.86,2.57,18,21,21,22,20,Tidak Tepat Waktu
1211002,L,SMA,18,Teknik Sipil (S1),2012,3.09,2.94,2.65,2.95,3,18,21,21,19,20,Tidak Tepat Waktu
1211003,P,SMA,18,Teknik Sipil (S1),2012,3.36,2.94,2.4,2.86,2.9,18,21,21,19,20,Tidak Tepat Waktu
1211004,L,SMK,19,Teknik Sipil (S1),2012,3.05,3.11,2.7,3,2.71,18,21,21,22,20,Tidak Tepat Waktu
1211005,L,SMK,19,Teknik Sipil (S1),2012,3.14,3.11,2.7,3.09,2.81,18,21,21,19,20,Tidak Tepat Waktu
1211007,L,SMK,20,Teknik Sipil (S1),2012,3.05,3,2.7,3.36,2.81,18,21,21,19,20,Tidak Tepat Waktu
1211008,L,SMK,37,Teknik Sipil (S1),2012,3.32,3.21,3.16,2.95,2.74,18,18,19,15,20,Tidak Tepat Waktu
1211013,L,SMA,22,Teknik Sipil (S1),2012,3.23,3,2.65,2.73,2.9,18,21,21,19,20,Tidak Tepat Waktu
1211015,P,SMK,28,Teknik Sipil (S1),2012,3.32,3.28,3.45,3.23,3.57,18,21,21,19,20,Tidak Tepat Waktu
1211016,L,SMA,17,Teknik Sipil (S1),2012,3.88,3.28,3.2,3.32,3.43,18,21,21,21,20,Tidak Tepat Waktu
1211022,L,SMK,21,Teknik Sipil (S1),2012,3.14,2.89,2.8,3.09,3,18,21,21,19,20,Tidak Tepat Waktu
1211023,L,SMA,21,Teknik Sipil (S1),2012,2.77,3.11,2.55,2.86,2.57,18,21,21,19,20,Tidak Tepat Waktu
1211024,L,SMK,18,Teknik Sipil (S1),2012,2.68,3.11,2.8,3,2.86,18,21,21,19,20,Tidak Tepat Waktu
1211026,L,SMK,20,Teknik Sipil (S1),2012,2.77,3,2.7,2.73,2.9,18,21,21,20,23,Tidak Tepat Waktu
1211028,L,SMK,18,Teknik Sipil (S1),2012,2.84,2.79,2.74,2.63,2.68,18,18,19,15,20,Tidak Tepat Waktu
1211031,P,SMA,18,Teknik Sipil (S1),2012,3.79,3.67,3.55,3.77,3.71,18,21,21,21,20,Tidak Tepat Waktu
1211035,P,SMK,17,Teknik Sipil (S1),2012,3.63,3.39,3.55,3.55,3.43,18,21,21,21,20,Tidak Tepat Waktu
1211036,L,SMK,18,Teknik Sipil (S1),2012,3.18,3.11,2.95,2.73,3,18,21,21,22,20,Tidak Tepat Waktu
1211039,L,SMK,18,Teknik Sipil (S1),2012,3.14,3.28,2.6,2.59,2.57,18,21,21,22,20,Tidak Tepat Waktu
1311001,P,,18,Teknik Sipil (S1),2013,4,2.8,2.41,3.88,1.82,3,4,21,21,19,Tidak Tepat Waktu
1311006,L,,23,Teknik Sipil (S1),2013,3.23,3.11,3.25,2.64,2.29,18,21,21,19,20,Tidak Tepat Waktu
1311008,L,,18,Teknik Sipil (S1),2013,3.27,2.83,3.4,2.82,2.71,18,21,21,19,20,Tidak Tepat Waktu
1311011,L,,18,Teknik Sipil (S1),2013,2.95,3.06,3.5,3,2.62,18,21,21,22,20,Tidak Tepat Waktu
1311013,L,,19,Teknik Sipil (S1),2013,3.59,3.28,3.85,3.59,3.57,18,21,21,19,20,Tidak Tepat Waktu
1311015,L,,18,Teknik Sipil (S1),2013,2.68,2.56,2.7,2.82,2.43,18,21,21,20,18,Tidak Tepat Waktu
1311016,L,,18,Teknik Sipil (S1),2013,3.05,2.84,2.53,2.84,2.37,0,0,22,24,16,Tidak Tepat Waktu
1311019,L,,18,Teknik Sipil (S1),2013,3.58,3.05,2.47,2.79,2.63,18,18,19,19,17,Tidak Tepat Waktu
1311025,L,SMA,18,Teknik Sipil (S1),2013,2.95,2.79,2.26,2.74,2.37,18,18,20,19,18,Tidak Tepat Waktu
1311033,P,,19,Teknik Sipil (S1),2013,3.05,2.94,3.1,2.82,2.48,18,21,21,19,20,Tidak Tepat Waktu
