Tahun Masuk,IPK,SKS,Status Kelulusan
2006,3,96,2
2008,3,98,0
2008,3,100,0
2008,3,100,0
2008,3,98,0
2009,3,94,0
2009,3,100,0
2009,3,95,0
2009,3,100,0
2009,3,100,0
2009,3,100,0
2010,3,100,0
2010,3,102,0
2010,3,100,0
2010,3,100,0
2010,3,102,0
2011,3,102,0
2011,2,72,2
2011,3,99,0
2011,3,79,0
2011,3,99,0
2011,3,90,0
2011,3,87,2
2011,3,101,1
2011,3,99,0
2011,4,103,0
2011,3,73,0
2012,3,102,0
2012,3,99,0
2012,3,99,0
2012,3,102,0
2012,3,99,0
2012,3,99,0
2012,3,90,0
2012,3,99,0
2012,3,99,0
2012,3,101,0
2012,3,99,0
2012,3,99,0
2012,3,99,0
2012,3,103,0
2012,3,90,0
2012,4,101,0
2012,4,101,0
2012,3,102,0
2012,3,102,0
2013,3,68,0
2013,3,99,0
2013,3,99,0
2013,3,102,0
2013,4,99,0
2013,3,98,0
2013,3,62,0
2013,3,91,0
2013,3,93,0
2013,3,99,0
2013,3,102,1
2013,3,94,0
2013,4,99,1
2014,4,102,0
2014,3,96,0
2014,3,96,0
2014,3,84,0
2014,3,107,1
2014,3,101,1
2014,3,89,0
2014,3,100,0
2014,3,107,1
2014,3,67,0
2014,3,104,1
2014,3,96,0
2014,2,77,0
2014,3,105,1
2014,3,91,0
2014,3,91,0
2014,3,107,1
2014,3,110,1
2014,4,108,1
2014,3,105,1
2014,3,100,0
2014,3,100,0
2014,4,107,1
2014,3,111,1
2014,3,105,1
2014,3,91,0
2014,4,100,0
2014,3,96,0
2014,3,100,0
2014,3,104,1
2015,4,103,1
2015,3,103,1
2015,3,98,0
2015,3,101,1
2015,3,101,0
2015,4,102,1
2015,4,102,0
2015,3,102,1
2015,3,102,1
2015,3,98,1
2015,4,103,1
2015,3,102,1
2015,3,102,0
2016,3,15,1
2010,3,100,0
2010,3,100,0
2010,3,100,0
2010,3,100,0
2010,3,64,2
2011,3,100,0
2011,3,101,0
2011,4,102,1
2011,4,102,1
2011,3,100,0
2011,3,100,1
2011,3,101,0
2011,3,102,0
