Id,Sentimen,Komentar
1,Positif,Yah semoga dan semoga. Baru pertama kali nyoba soalnya
2,Positif,BISMILLAAHH JUMAT BERKAH!! COBA KASIH “❤️” BUAT SOBAT PRAKERJA YANG MAU REJEKINYA DI GELOMBANG 54😆
3,Positif,MIMIN DOAKAN AGAR BISA LOLOS YA DI GELOMBANG 54 INI AMIN 🙏🙏🙏
4,Netral,Klo mau beli pelatihannya bagusnya dimana yah ? Ada yang rekomendasi gak ?
5,Netral,"Min, yg lagi kuliah bisa ikut prakerja?"
6,Negatif,Sekarang prakerja cuma cair sekali 600 ribu aja 😁 dulu dpt 600 ribunya 4x 😁
7,Negatif,Ogah Oga ogahh duit ga seberapa pusingnya 7 keliling😂
8,Negatif,Insentifnya balikin kaya awal dong 4x dapetnya
9,Netral,Min pencairan yang estimasi 2 juni cair gak niih
10,Netral,"Min mau tanya apa bener sekarang prakerja trun nya sekali doang trus pelatihan nya langsung di kantor pusat ,klo dlu kan cuma lewat hp ajj"
11,Negatif,Gak lolos terus miiiinnnn aahhhh 😢😢
12,Positif,Semoga yg lolos bisa bersabar krna ujian sebenarnya baru akan dimulai udh kyk nyari jarum di tengah samudra ribetnya
13,Positif,"Yeay udah daftar, siap lolosss hehe"
14,Positif,semoga bee lolos dah soalnya sering bngt daftar suka galolos karena duplikat apa gtu wkwk
15,Negatif,Dari awal gel 1 sampai gel 54 saya belum lolos lolos kenapa ya min @vokraf @prakerja.go.id
16,Negatif,"Pelatihan ada yg agustus , jngan2 gelombang ini nyampe akhir tahun pelatihannya wkwk"
17,Negatif,Ada yg tau ga ya knp udh coba 10x tp ga pernah lolos. Salah nya dimana gt?
18,Netral,Mau beli pelatihan tapi banyak yang gak ada jadwalnya
19,Positif,Mudah2an lolos
20,Negatif,Kenpa tidak ada pencarian min .hari ini .. Padah sudah di proses dari tgl 31
21,Negatif,Kalo nik nya terdaftar di kementrian pendidikan ngga bisa yah min?
22,Positif,"Bismillah, semoga jumat ini bawa berkah buat semuanya. Yuk yang mau lolos kita aminkan sama-sama🤲🏻"
23,Negatif,"Program prakerja sekarang hanya menguntungkan oknum sebelah ya.. pedahal setelah ditengok pelatihan nya monoton materi yg disampaikan standar ajah, cari di google jga bisa. Karena program ini dibutuhkan oleh masyarakat yg butuh ilmu dan bantuan uang nya ..jadi sebaiknya di bagi rata ajah, misalkan dana yg didapat 4.2 harap dipertimbangkan kebijakan nya 1.2 untuk penerima dan 1.2 untuk lembaga kursus @prakerja.go.id haturnuhun"
24,Netral,Jadi maksudnya min...cukup satu kali gabung gelombang...gelombang berikutnya...tidak perlu lagi ya min..mohon penjelasannya min
25,Positif,Sudah 5 kali gagal dan semoga kali ini lolos
26,Negatif,Kenapa gelombang nya yang saya tidak bisa gabung 😪
27,Positif,Semoga yang belum lolos bisa lolos di gelombang ini yaa 🙌 aamiin 👏
28,Netral,Kalo udah selesai pelatihan nih terus saldo masih ada mau nambah pelatihan. Nah itu ada jangka waktu juga ga kalo udah lulus 1 pelatihan mau lanjut ke pelatihan lain
29,Netral,Kalo Lupa password email gimana ya caranya
30,Negatif,Sekarang malas gabung intensifnya cuman 1x pelatihannya bikin puyeng 🙈🙈
31,Netral,Pengumun lolos tidak nya g mna
32,Negatif,"Sekedar saran sih Min, sebelum gelombangnya dibuka terus, alangkah baiknya kuota pelatihannya ditambah dahulu, dari pengalaman saya lolosnya aja sudah susah ditambah nyari pelatihannya lebih susah, karena pelatihan rata-rata kuotanya sudah penuh hingga berbulan-bulan ke depan"
33,Negatif,"Aku gelombang 53 tp ga bisa2 beli kelas, masa penuh semua 😌 kalo gini gimana min? Apa lgsg ikut gelombang berikutnya aja?"
34,Positif,Semoga lolos gelombang sekarang 🤲🙏
35,Negatif,Apakah normal sudah 20 kali gabung gelombang tapi gagal terus? Gw sampek mau nyerah..ini sistem seleksix gimana sih jjr ga paham..padahal di kk gw baru gw yang ikut..gw juga lagi ga skolah..bingung sumpah..@prakerja.go.id @vokraf
36,Positif,Lah masih ada ternyata prakerja
37,Negatif,Benerkah cuma dapat 600 ribu?
38,Negatif,Ga lolos eyy 🤒
39,Positif,Semangat guys cobain terus aku ikut dari awal tahun 2021 baru lolos kemarin 😂 cobain terus aja sapa tau giliran kamu yang hoki wkwkwk
40,Negatif,Yang tidak dinyatakan lolos bagusnya sih cantumkan knp tidak lolos supaya kita tidak capek mendaftar
41,Negatif,Menunggu gelombang ditutup..😂
42,Negatif,Gimana sih min tiap daftar kartu prakerja. Kata website nya alamat tempat tinggal tidak sesuai KTP dan disdukcapil. Gimana sih? Padahal menurut petugas nya betul kok. Kenapa sih min website nya selalu begitu? Padahal saya butuh sekali pelatihan kartu prakerja ini. 😢😢
43,Negatif,Bagi mantan penerima Subsidi upah yang sudah tidak bekerja lagi apakah masih bisa ikut diterima program prakerja? @prakerja.go.id
44,Netral,Udah ke 54 aja mas @ibnfz_
45,Netral,Min klo ktp nya daerah jawa bukan dki bisa g ya min ?? @prakerja.go.id
